Dimensão (d),Amostras (N),Diferença (%)
2,100,0.6802185540274018
6,100,7.302937175628996
10,100,27.118136743286588
2,1000,1.3937345564154815
6,1000,3.6916234257022738
10,1000,1.8970388448063282
2,10000,0.02218502978398571
6,10000,0.045107229168542734
10,10000,0.6232505082166068
2,100000,0.07370645843147644
6,100000,0.07662153992453197
10,100000,0.5819525779131539
2,1000000,0.05129613160336293
6,1000000,0.02188174074881476
10,1000000,0.052290987775605036
